Annotation Id, Left Context, Derge, Chone, Narthang, Peking, Right Context, Decision, Method
c6f3447b131d461a9401beee0d1d732d, །བདག་གིས་དགེ་གོམས་མ,བྱས་ན།,བྱས་།,བྱས་ན།,བྱས་ན།, །འདི་ལས་བསླུས་པ་གཞན,བྱས་ན།,OUTLIER/
cc99b8236f774c94b164cfc4f303f477,ི་ཕ་རོལ་ཕྱིན་ཡིན་ན། ,ད་རུང་,ད་རུང་,ད་དུང་,ད་དུང་,འགྲོ་བཀྲེན་ཡོད་ན་སྔོ,ད་རུང་,SIMILAR/
5501e566c95f4574869741fddda31d7d,་ལྟས་དེ་ནི་སེམས་ཉིད་,དོ,དོ,དོ,དེ,། །ཉ་ལ་སོགས་པ་གང་ཞིག,དོ,OUTLIER/
ff7c2ad556964c4c9f76d217cca2a1e5,པར་བཤད། །སེམས་ཅན་མི་,སྲུན་,སྲུན་,བསྲུན་,བསྲུན་,ནམ་མཁའ་བཞིན། །དེ་དག་,སྲུན་,SIMILAR/
fdad139f199a44c8a2da850d230d772e,་སེམས་འདི་ནི། །ལེགས་,གཟུང་,གཟུང་,བཟུང་,གཟུང་,ལེགས་པར་བསྲུང་བར་བྱ།,གཟུང་,OUTLIER/
76e9c8ff806c469f90578ea262a8b65f,། །དེ་བཞིན་རྨོངས་པས་,སེམས་,སེམས་,སེམས་,ལས་,དཀྲུགས་པ། །ལས་རྣམས་ཀ,སེམས་,OUTLIER/
e38102f680c24b1f86390e599b54ebb0, །དྲན་པ་ཉམས་པའི་རྗེས,འབྲང་བས,འབྲང་བས,འབྲངས་པས,འབྲང་བས,། །བསོད་ནམས་དག་ནི་ཉེ,འབྲང་བས,OUTLIER/
51aa2e8e908a418a9faef23dd306ad6c,ས། །གུད་དུ་ནམ་ཡང་མི་,གཏོང་,གཏོང་,བཏང་,གཏོང་,ངོ་། །སོང་ནའང་ངན་འགྲ,གཏོང་,OUTLIER/
00c942f950c847bf8d8799a51c545c42,ི་གཏོང་ངོ་། །སོང་ནའང,ངན་འགྲོ་,ངན་འགྲོ་,ངན་སོང་,ངན་སོང་,གནོད་པ་དག །དྲན་པར་བྱ,ངན་འགྲོ་,SIMILAR/
ec8218de583f443692ace1bdc60caa80,ུར་པ་ན། །དེ་ལ་ཆགས་པ་,སྤང་,སྤང་,སྤངས་,སྤང་,བར་བྱ། །དོན་མེད་ས་རྐ,སྤང་,OUTLIER/
de97f52b3acd4392af40904675f971fe,ན་དུ་ནི་གནས་པར་བྱ། །,དགོད་,དགོད་,རྒོད་,རྒོད་,དང་ག་ཞར་བཅས་པའམ། །གལ,དགོད་,ALTERNATIVE/
0ba71fd510d4400681b93d8a627e894c,་རྒྱགས་ལྡན་པའམ། །མཚང,འབྲུ་བ་,འབྲུ་བ་,འདྲུ་བ་,འདྲུ་བ་,ཡི་བསམ་པ་དང་། །གལ་ཏེ,འབྲུ་བ་,SIMILAR/
708474b15bb643aa8341c8565fe1cb81,ཉིད་དང་ནི། །གཤེ་བཅས་,འགྱོད་,འགྱོད་,འགྱོད་,འགྱང་,དང་བཅས་གྱུར་པ། །དེ་ཚ,འགྱོད་,OUTLIER/
819b7aeb01d84858a50e5fa642d3158c,་ངུའི་ཕྱིར་ནི་ཆེ་མི་,གཏང་,གཏང་,བཏང་,གཏང་,། །གཙོ་ཆེར་གཞན་གྱི་ད,གཏང་,OUTLIER/
8e65242a345f48629b9ead02a1d1a9fb,དཀྲིས་དང་། །གདུགས་དང,འཁར་བ་,འཁར་བ་,མཁར་བ་,མཁར་བ་,མཚོན་ཐོགས་དང་། །མགོ་,འཁར་བ་,ALTERNATIVE/
61ef11432dda4456ba45b4611e276f77,་དང་། །ཁ་གདངས་ནས་ནི་,བཟའ་,བཟའ་,བཟང་,བཟའ་,མི་བྱ། །རྐང་པ་བརྐྱང་,བཟའ་,OUTLIER/
ccec81d7d3ff42d1b796f31be844b155,འ་སྩལ་གཞན། །མདོ་སྡེ་,བཀླགས་,བཀླགས་,བཀླགས་,བཀླག་,ནས་ཤེས་པར་བྱ། །མདོ་ས,བཀླགས་,OUTLIER/
4c91cc125c60423cb10504fea7d201b7,ོ། །ལུས་ཀྱིས་འདི་དག,སྤྱད་པར་,སྤྱོད་པར་,སྤྱད་པར་,སྤྱད་པར་,བྱ། །ཚིག་ཙམ་བརྗོད་པས,སྤྱད་པར་,OUTLIER/
f1e3c84105ba4e7c88c08271e76fc3e0,ནོས། །དཀའ་ཟློག་དད་དང,ཀརྣ་པ,ཀརྣ་པ,ཀརྞ་པ,ཀརྞ་པ,། །བསྲེག་དང་བཅད་སོགས,ཀརྣ་པ,SANSKRIT/
848a367abbb64b5e9a4a130408a96828,ང་ཤ་སྦྲང་དག་དང་ནི། །,བཀྲེས་,བཀྲེས་,བཀྲེས་,བསྐྲེས་,སྐོམ་ལ་སོགས་ཚོར་བ་དང,བཀྲེས་,OUTLIER/
cc80bd8d14be48b298a590b2a0fceb73,ོད། །དེ་ནི་སེམས་ཀྱི་,ངང་,ངང་,དད་,ངང་,བརྟན་དང་། །སྔར་མའི་ཚ,ངང་,OUTLIER/
04bcffc78f3d434a92e73a413e9666bb,ང་རྗེ་སྐྱེ། །སྡིག་ལ་,འཛེམ་,འཛེམ་,འཛེམ་,འཛེམས་,དང་དགེ་ལ་དགའ། །མཁྲིས,འཛེམ་,OUTLIER/
752e3286a4ab4b30a9b0badb8875c047,ན། །བདག་གིས་དེ་དག་མ་,བརླག་,བརླགས་,བརླག་,བརླག་,གམ། །འདི་དག་ལ་ནི་རྟེ,བརླག་,OUTLIER/
37f0df613b1744c0a7335a76d5f918e1,ྱས་སོ། །འདི་ནི་དེ་ཙམ,གནོད་མིན་,གནོད་མིན་,གནོད་མིག་,གནོད་མིན་,ལ། །དོན་ཆེན་དག་ཀྱང་འ,གནོད་མིན་,OUTLIER/
5be442981f6e4de48f9d078b57f7e218,ྱེད། །གསོ་བྱ་གང་ཞིག་,ཁྱོད་,ཁྱོད་,ཁྱོད་,ཁྲོ་,གསོ་བ། །ཁྱོད་ཉིད་ཀྱི,ཁྱོད་,OUTLIER/
257919f244be4880885908b658f95f0e,ྱིས་ནི་སྦྱིན་བྱ་དེ། ,གཉེན་གྱིས་,གཉེན་གྱི་,གཉེན་གྱིས་,གཉེན་གྱིས་,འཚོ་བ་རྙེད་གྱུར་ན། །,གཉེན་གྱིས་,OUTLIER/
c75a8890d07f467aaa05a8239f2fb2b5,འབའ་ཞིག་འདོད་ན་ནི། །,རྒྱན་,རྒྱན་,རྒྱན་,རྒྱལ་,སོགས་ཆང་ཡང་བསྟེན་དགོ,རྒྱན་,OUTLIER/
11ad3281266a4103b22a126aea5ea755,་བ། །དེ་ཡང་དེ་ལྟར་མི,འཐད་པས,འཐོད,འཐད་པས,འཐད་པས,། །བྱིས་པའི་སྤྱོད་པ་,འཐད་པས,OUTLIER/
23cb765b107d40e296d2f72d1846b04c,ྡང་སེམས་ལ། །བརྟེན་ནས,བཟོད་པ་,བཟོད་པ་,བཟོད་པར་,བཟོད་པ་,སྐྱེ་བས་ན། །དེ་ཉིད་བ,བཟོད་པ་,OUTLIER/
7ee418d231e347a7be13b8ff636aba11,ཚུལ། །བསམ་པའི་ཡོན་ཏན,རང་གིས་,རང་གི་,རང་གིས་,རང་གིས་,མིན། །འབྲས་བུ་ལས་ཡིན,རང་གིས་,OUTLIER/
61e33d9218774ac2aadd2458bb79f68d, །འབྲས་བུ་ལས་ཡིན་དེས,མཚུངས་པར,མཚུངས་པའི,མཚུངས་པར,མཚུངས་པར,། །སེམས་ཅན་རྣམས་ལའང་,མཚུངས་པར,OUTLIER/
70ddd1745df64c9f819a7ee0f9375be2,མེད་གཉེན་གྱུར་ཅིང་། ,ཕན་པ་,ཕན་པ་,ཕན་པ་,ཕན་པའི་,དཔག་མེད་མཛད་རྣམས་ལ། ,ཕན་པ་,OUTLIER/
cb9568f418f641c3afc443d2b559ddb8, །གཞན་གང་ཞིག་གིས་ལན་,ལོན་,ལོ་,ལོན་,ལོན་,འགྱུར། །གང་ཕྱིར་སྐུ་,ལོན་,OUTLIER/
98e3dd0f135c422e997c3fcc854e735f,ྱེད་བྱས་པར་གནས་པ་ལ། ,གློ་བུར་,གློ་བུར་,བློ་བུར་,བློ་བུར་,འཆི་བདག་འོངས་ནས་ནི། ,གློ་བུར་,ALTERNATIVE/
